State,,County Name,,,,Median Home Price Q4 2023,,,"Monthly Payment Q4
2023",,,"Monthly Payment
Q4 2022",,,,,
,,Bartow County,,,,"$305,470",,,"$1,880",,,"$1,680",,Georgia,,,
,,Ben Hill County,,,,"$109,300",,,$670,,,$580,,Georgia,,,
,,Berrien County,,,,"$118,380",,,$730,,,$630,,Georgia,,,
,,Bibb County,,,,"$187,410",,,"$1,160",,,"$1,040",,Georgia,,,
,,Bleckley County,,,,"$132,910",,,$820,,,$710,,Georgia,,,
,,Brantley County,,,,"$104,240",,,$640,,,$530,,Georgia,,,
,,Brooks County,,,,"$127,430",,,$790,,,$750,,Georgia,,,
,,Bryan County,,,,"$313,620",,,"$1,940",,,"$1,600",,Georgia,,,
,,Bulloch County,,,,"$225,390",,,"$1,390",,,"$1,200",,Georgia,,,
,,Burke County,,,,"$104,940",,,$650,,,$570,,Georgia,,,
,,Butts County,,,,"$211,470",,,"$1,300",,,"$1,160",,Georgia,,,
,,Calhoun County,,,,"$84,270",,,$520,,,$450,,Georgia,,,
,,Camden County,,,,"$233,260",,,"$1,440",,,"$1,240",,Georgia,,,
,,Candler County,,,,"$154,670",,,$950,,,$820,,Georgia,,,
,,Carroll County,,,,"$277,030",,,"$1,710",,,"$1,520",,Georgia,,,
,,Catoosa County,,,,"$252,640",,,"$1,560",,,"$1,320",,Georgia,,,
,,Charlton County,,,,"$117,500",,,$730,,,$620,,Georgia,,,
,,Chatham County,,,,"$331,000",,,"$2,040",,,"$1,690",,Georgia,,,
,,Chattahoochee County,,,,"$136,290",,,$840,,,$750,,Georgia,,,
,,Chattooga County,,,,"$94,440",,,$580,,,$500,,Georgia,,,
,,Cherokee County,,,,"$452,020",,,"$2,790",,,"$2,480",,Georgia,,,
,,Clarke County,,,,"$334,060",,,"$2,060",,,"$1,790",,Georgia,,,
,,Clay County,,,,"$88,760",,,$550,,,$470,,Georgia,,,
,,Clayton County,,,,"$235,580",,,"$1,450",,,"$1,290",,Georgia,,,
,,Clinch County,,,,"$80,780",,,$500,,,$430,,Georgia,,,
,,Cobb County,,,,"$420,830",,,"$2,600",,,"$2,310",,Georgia,,,
,,Coffee County,,,,"$133,900",,,$830,,,$710,,Georgia,,,
,,Colquitt County,,,,"$124,500",,,$770,,,$660,,Georgia,,,
,,Columbia County,,,,"$310,750",,,"$1,920",,,"$1,690",,Georgia,,,
,,Cook County,,,,"$124,170",,,$770,,,$660,,Georgia,,,
,,Coweta County,,,,"$380,230",,,"$2,350",,,"$2,090",,Georgia,,,
,,Crawford County,,,,"$156,680",,,$970,,,$870,,Georgia,,,
,,Crisp County,,,,"$116,850",,,$720,,,$620,,Georgia,,,
,,Dade County,,,,"$175,820",,,"$1,080",,,$920,,Georgia,,,
,,Dawson County,,,,"$330,530",,,"$2,040",,,"$1,820",,Georgia,,,
,,Decatur County,,,,"$153,900",,,$950,,,$820,,Georgia,,,
,,DeKalb County,,,,"$372,400",,,"$2,300",,,"$2,050",,Georgia,,,
,,Dodge County,,,,"$114,330",,,$710,,,$610,,Georgia,,,
Dooly County,,,,"$103,290",$640,,$550,,,,,,,,,,
Dougherty County,,,,"$122,990",$760,,$700,,,,,,,,,,
Douglas County,,,,"$312,660","$1,930",,"$1,720",,,,,,,,,,
Early County,,,,"$138,270",$850,,$730,,,,,,,,,,
Echols County,,,,"$114,030",$700,,$670,,,,,,,,,,
Effingham County,,,,"$301,460","$1,860",,"$1,540",,,,,,,,,,
Elbert County,,,,"$114,220",$700,,$610,,,,,,,,,,
Emanuel County,,,,"$95,640",$590,,$510,,,,,,,,,,
Evans County,,,,"$142,640",$880,,$760,,,,,,,,,,
Fannin County,,,,"$284,300","$1,750",,"$1,510",,,,,,,,,,
Fayette County,,,,"$455,510","$2,810",,"$2,500",,,,,,,,,,
Floyd County,,,,"$196,980","$1,220",,"$1,090",,,,,,,,,,
Forsyth County,,,,"$567,490","$3,500",,"$3,120",,,,,,,,,,
Franklin County,,,,"$160,350",$990,,$850,,,,,,,,,,
Fulton County,,,,"$472,750","$2,920",,"$2,600",,,,,,,,,,
Gilmer County,,,,"$283,860","$1,750",,"$1,510",,,,,,,,,,
Glascock County,,,,"$128,210",$790,,$680,,,,,,,,,,
Glynn County,,,,"$300,120","$1,850",,"$1,540",,,,,,,,,,
Gordon County,,,,"$195,760","$1,210",,"$1,040",,,,,,,,,,
Grady County,,,,"$160,680",$990,,$850,,,,,,,,,,
Greene County,,,,"$336,660","$2,080",,"$1,790",,,,,,,,,,
Gwinnett County,,,,"$403,600","$2,490",,"$2,220",,,,,,,,,,
Habersham County,,,,"$206,370","$1,270",,"$1,100",,,,,,,,,,
Hall County,,,,"$360,450","$2,220",,"$2,060",,,,,,,,,,
Hancock County,,,,"$102,200",$630,,$540,,,,,,,,,,
Haralson County,,,,"$198,470","$1,220",,"$1,090",,,,,,,,,,
Harris County,,,,"$287,970","$1,780",,"$1,590",,,,,,,,,,
Hart County,,,,"$197,290","$1,220",,"$1,050",,,,,,,,,,
Heard County,,,,"$142,640",$880,,$780,,,,,,,,,,
Henry County,,,,"$311,920","$1,920",,"$1,710",,,,,,,,,,
Houston County,,,,"$233,090","$1,440",,"$1,240",,,,,,,,,,
Irwin County,,,,"$103,510",$640,,$550,,,,,,,,,,
Jackson County,,,,"$356,110","$2,200",,"$1,890",,,,,,,,,,
Jasper County,,,,"$194,560","$1,200",,"$1,070",,,,,,,,,,
Jeff Davis County,,,,"$116,740",$720,,$620,,,,,,,,,,
Jefferson County,,,,"$99,360",$610,,$530,,,,,,,,,,
Jenkins County,,,,"$89,410",$550,,$480,,,,,,,,,,
Johnson County,,,,"$88,860",$550,,$470,,,,,,,,,,
Jones County,,,,"$167,270","$1,030",,$930,,,,,,,,,,
Lamar County,,,,"$187,150","$1,150",,"$1,030",,,,,,,,,,
Lanier County,,,,"$149,070",$920,,$870,,,,,,,,,,
Laurens County,,,,"$144,280",$890,,$770,,,,,,,,,,
Lee County,,,,"$213,110","$1,310",,"$1,210",,,,,,,,,,
Liberty County,,,,"$194,720","$1,200",,"$1,030",,,,,,,,,,
Lincoln County,,,,"$179,590","$1,110",,$950,,,,,,,,,,
Long County,,,,"$175,120","$1,080",,$930,,,,,,,,,,
Lowndes County,,,,"$204,550","$1,260",,"$1,200",,,,,,,,,,
Lumpkin County,,,,"$272,600","$1,680",,"$1,450",,,,,,,,,,
McDuffie County,,,,"$150,410",$930,,$820,,,,,,,,,,
McIntosh County,,,,"$178,750","$1,100",,$920,,,,,,,,,,
Macon County,,,,"$85,370",$530,,$450,,,,,,,,,,
Madison County,,,,"$185,030","$1,140",,$990,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,
,,Marion County,,,,"$117,320",,,$720,,,$650,,,,,
,,Meriwether County,,,,"$155,640",,,$960,,,$850,,,,,
,,Miller County,,,,"$130,510",,,$810,,,$690,,,,,
,,Mitchell County,,,,"$107,560",,,$660,,,$570,,,,,
,,Monroe County,,,,"$214,040",,,"$1,320",,,"$1,190",,,,,
,,Montgomery County,,,,"$115,100",,,$710,,,$610,,,,,
,,Morgan County,,,,"$320,590",,,"$1,980",,,"$1,700",,,,,
,,Murray County,,,,"$161,810",,,"$1,000",,,$890,,,,,
,,Muscogee County,,,,"$195,640",,,"$1,210",,,"$1,080",,,,,
,,Newton County,,,,"$294,790",,,"$1,820",,,"$1,620",,,,,
,,Oconee County,,,,"$422,120",,,"$2,600",,,"$2,260",,,,,
,,Oglethorpe County,,,,"$191,210",,,"$1,180",,,"$1,020",,,,,
,,Paulding County,,,,"$330,320",,,"$2,040",,,"$1,810",,,,,
,,Peach County,,,,"$186,360",,,"$1,150",,,$990,,,,,
,,Pickens County,,,,"$278,300",,,"$1,720",,,"$1,530",,,,,
,,Pierce County,,,,"$127,670",,,$790,,,$680,,,,,
,,Pike County,,,,"$248,160",,,"$1,530",,,"$1,360",,,,,
,,Polk County,,,,"$165,490",,,"$1,020",,,$880,,,,,
,,Pulaski County,,,,"$131,710",,,$810,,,$700,,,,,
,,Putnam County,,,,"$222,220",,,"$1,370",,,"$1,180",,,,,
,,Quitman County,,,,"$93,780",,,$580,,,$500,,,,,
,,Rabun County,,,,"$258,940",,,"$1,600",,,"$1,380",,,,,
,,Randolph County,,,,"$91,600",,,$570,,,$490,,,,,
,,Richmond County,,,,"$155,860",,,$960,,,$850,,,,,
,,Rockdale County,,,,"$289,930",,,"$1,790",,,"$1,590",,,,,
,,Schley County,,,,"$168,660",,,"$1,040",,,$900,,,,,
,,Screven County,,,,"$117,830",,,$730,,,$630,,,,,
,,Seminole County,,,,"$120,560",,,$740,,,$640,,,,,
,,Spalding County,,,,"$246,260",,,"$1,520",,,"$1,350",,,,,
,,Stephens County,,,,"$168,550",,,"$1,040",,,$900,,,,,
,,Stewart County,,,,"$79,250",,,$490,,,$420,,,,,
,,Sumter County,,,,"$142,100",,,$880,,,$750,,,,,
,,Talbot County,,,,"$130,510",,,$810,,,$690,,,,,
,,Taliaferro County,,,,"$75,640",,,$470,,,$400,,,,,
,,Tattnall County,,,,"$126,360",,,$780,,,$670,,,,,
,,Taylor County,,,,"$98,480",,,$610,,,$520,,,,,
,,Telfair County,,,,"$98,370",,,$610,,,$520,,,,,
,,Terrell County,,,,"$99,000",,,$610,,,$560,,,,,
,,Thomas County,,,,"$195,550",,,"$1,210",,,"$1,040",,,,,
,,Tift County,,,,"$153,790",,,$950,,,$820,,,,,
,,Toombs County,,,,"$136,410",,,$840,,,$720,,,,,
,,Towns County,,,,"$304,630",,,"$1,880",,,"$1,620",,,,,
,,Treutlen County,,,,"$107,660",,,$660,,,$570,,,,,
,,Troup County,,,,"$248,780",,,"$1,530",,,"$1,320",,,,,
,,Turner County,,,,"$93,560",,,$580,,,$500,,,,,
,,Twiggs County,,,,"$93,650",,,$580,,,$520,,,,,
,,Union County,,,,"$275,560",,,"$1,700",,,"$1,460",,,,,
,,Upson County,,,,"$149,200",,,$920,,,$790,,,,,
,,Walker County,,,,"$206,100",,,"$1,270",,,"$1,070",,,,,
,,Walton County,,,,"$348,720",,,"$2,150",,,"$1,920",,,,,
,,Ware County,,,,"$103,400",,,$640,,,$550,,,,,
,,Warren County,,,,"$90,390",,,$560,,,$480,,,,,
,,Washington County,,,,"$124,280",,,$770,,,$660,,,,,
,,Wayne County,,,,"$155,430",,,$960,,,$830,,,,,
,,Webster County,,,,"$84,270",,,$520,,,$450,,,,,
,,Wheeler County,,,,"$90,290",,,$560,,,$480,,,,,
,,White County,,,,"$253,590",,,"$1,560",,,"$1,350",,,,,
,,Whitfield County,,,,"$220,240",,,"$1,360",,,"$1,210",,,,,
,,Wilcox County,,,,"$71,380",,,$440,,,$380,,,,,
,,Wilkes County,,,,"$101,110",,,$620,,,$540,,,,,
,,Wilkinson County,,,,"$95,750",,,$590,,,$510,,,,,
,,Worth County,,,,"$100,020",,,$620,,,$570,,,,,
Hawaii,,Hawaii County,,,,"$536,790",,,"$3,310",,,"$3,110",,,,,
,,Honolulu County,,,,"$918,310",,,"$5,670",,,"$5,080",,,,,
,,Kauai County,,,,"$856,490",,,"$5,280",,,"$4,960",,,,,
,,Maui County,,,,"$924,750",,,"$5,710",,,"$5,360",,,,,
Idaho,,Ada County,,,,"$561,630",,,"$3,470",,,"$3,190",,,,,
,,Adams County,,,,"$291,370",,,"$1,800",,,"$1,650",,,,,
,,Bannock County,,,,"$310,440",,,"$1,920",,,"$1,820",,,,,
,,Bear Lake County,,,,"$199,540",,,"$1,230",,,"$1,130",,,,,
,,Benewah County,,,,"$247,710",,,"$1,530",,,"$1,400",,,,,
,,Bingham County,,,,"$236,230",,,"$1,460",,,"$1,340",,,,,
,,Blaine County,,,,"$572,480",,,"$3,530",,,"$3,240",,,,,
,,Boise County,,,,"$377,250",,,"$2,330",,,"$2,140",,,,,
,,Bonner County,,,,"$387,600",,,"$2,390",,,"$2,200",,,,,
,,Bonneville County,,,,"$358,320",,,"$2,210",,,"$2,140",,,,,
,,Boundary County,,,,"$326,520",,,"$2,010",,,"$1,850",,,,,
,,Butte County,,,,"$199,540",,,"$1,230",,,"$1,130",,,,,
,,Camas County,,,,"$230,590",,,"$1,420",,,"$1,310",,,,,
,,Canyon County,,,,"$406,260",,,"$2,510",,,"$2,310",,,,,
,,Caribou County,,,,"$209,480",,,"$1,290",,,"$1,190",,,,,
,,Cassia County,,,,"$232,740",,,"$1,440",,,"$1,320",,,,,
,,Clark County,,,,"$176,790",,,"$1,090",,,"$1,000",,,,,
,,Clearwater County,,,,"$218,290",,,"$1,350",,,"$1,240",,,,,
,,Custer County,,,,"$289,010",,,"$1,780",,,"$1,640",,,,,
,,Elmore County,,,,"$241,050",,,"$1,490",,,"$1,370",,,,,
,,Franklin County,,,,"$271,480",,,"$1,680",,,"$1,560",,,,,
,,Fremont County,,,,"$249,760",,,"$1,540",,,"$1,420",,,,,
,,Gem County,,,,"$331,690",,,"$2,050",,,"$1,890",,,,,
,,Gooding County,,,,"$202,720",,,"$1,250",,,"$1,150",,,,,
,,Idaho County,,,,"$265,340",,,"$1,640",,,"$1,500",,,,,
,,Jefferson County,,,,"$276,980",,,"$1,710",,,"$1,650",,,,,
,,Jerome County,,,,"$240,120",,,"$1,480",,,"$1,360",,,,,
,,Kootenai County,,,,"$546,560",,,"$3,370",,,"$3,180",,,,,
,,Latah County,,,,"$316,990",,,"$1,960",,,"$1,800",,,,,
,,Lemhi County,,,,"$261,130",,,"$1,610",,,"$1,480",,,,,
,,Lewis County,,,,"$189,390",,,"$1,170",,,"$1,070",,,,,
,,Lincoln County,,,,"$187,960",,,"$1,160",,,"$1,070",,,,,
,,Madison County,,,,"$332,360",,,"$2,050",,,"$1,880",,,,,
,,Minidoka County,,,,"$203,330",,,"$1,250",,,"$1,150",,,,,
,,Nez Perce County,,,,"$247,330",,,"$1,530",,,"$1,510",,,,,
,,Oneida County,,,,"$231,620",,,"$1,430",,,"$1,310",,,,,
,,Owyhee County,,,,"$252,520",,,"$1,560",,,"$1,440",,,,,
,,Payette County,,,,"$272,100",,,"$1,680",,,"$1,540",,,,,
,,Power County,,,,"$172,770",,,"$1,070",,,"$1,010",,,,,
,,Shoshone County,,,,"$187,750",,,"$1,160",,,"$1,060",,,,,
,,Teton County,,,,"$491,730",,,"$3,030",,,"$2,790",,,,,
,,Twin Falls County,,,,"$349,070",,,"$2,150",,,"$1,980",,,,,
,,Valley County,,,,"$482,710",,,"$2,980",,,"$2,740",,,,,
,,Washington County,,,,"$217,270",,,"$1,340",,,"$1,230",,,,,
,,Adams County,,,,"$161,720",,,"$1,000",,,$880,,,,,
,,Alexander County,,,,"$62,630",,,$390,,,$340,,,,,
,,Bond County,,,,"$140,190",,,$870,,,$760,,,,,
,,Boone County,,,,"$199,390",,,"$1,230",,,"$1,060",,,,,
,,Brown County,,,,"$130,510",,,$810,,,$710,,,,,
,,Bureau County,,,,"$128,480",,,$790,,,$700,,,,,
,,Calhoun County,,,,"$173,120",,,"$1,070",,,$930,,,,,
,,Carroll County,,,,"$117,470",,,$720,,,$640,,,,,
,,Cass County,,,,"$98,330",,,$610,,,$530,,,,,
,,Champaign County,,,,"$212,380",,,"$1,310",,,"$1,160",,,,,
,,Christian County,,,,"$116,290",,,$720,,,$630,,,,,
,,Clark County,,,,"$120,140",,,$740,,,$650,,,,,
,,Clay County,,,,"$110,730",,,$680,,,$600,,,,,
,,Clinton County,,,,"$184,520",,,"$1,140",,,"$1,000",,,,,
,,Coles County,,,,"$121,850",,,$750,,,$660,,,,,
,,Cook County,,,,"$322,380",,,"$1,990",,,"$1,750",,,,,
,,Crawford County,,,,"$115,650",,,$710,,,$630,,,,,
,,Cumberland County,,,,"$123,990",,,$770,,,$670,,,,,
,,DeKalb County,,,,"$243,230",,,"$1,500",,,"$1,320",,,,,
,,De Witt County,,,,"$129,440",,,$800,,,$700,,,,,
,,Douglas County,,,,"$146,540",,,$900,,,$800,,,,,
,,DuPage County,,,,"$390,300",,,"$2,410",,,"$2,120",,,,,
,,Edgar County,,,,"$100,580",,,$620,,,$550,,,,,
,,Edwards County,,,,"$99,080",,,$610,,,$540,,,,,
,,Effingham County,,,,"$177,960",,,"$1,100",,,$970,,,,,
,,Fayette County,,,,"$119,180",,,$740,,,$650,,,,,
,,Ford County,,,,"$120,970",,,$750,,,$660,,,,,
,,Franklin County,,,,"$93,520",,,$580,,,$510,,,,,
,,Fulton County,,,,"$106,670",,,$660,,,$580,,,,,
,,Gallatin County,,,,"$86,580",,,$530,,,$470,,,,,
,,Greene County,,,,"$98,760",,,$610,,,$540,,,,,
,,Grundy County,,,,"$262,480",,,"$1,620",,,"$1,430",,,,,
,,Hamilton County,,,,"$107,210",,,$660,,,$580,,,,,
,,Hancock County,,,,"$111,370",,,$690,,,$610,,,,,
,,Hardin County,,,,"$96,840",,,$600,,,$530,,,,,
,,Henderson County,,,,"$106,670",,,$660,,,$580,,,,,
,,Henry County,,,,"$148,810",,,$920,,,$810,,,,,
,,Iroquois County,,,,"$129,220",,,$800,,,$700,,,,,
,,Jackson County,,,,"$131,900",,,$810,,,$720,,,,,
,,Jasper County,,,,"$126,020",,,$780,,,$680,,,,,
,,Jefferson County,,,,"$122,920",,,$760,,,$670,,,,,
,,Jersey County,,,,"$174,090",,,"$1,070",,,$940,,,,,
,,Jo Daviess County,,,,"$191,650",,,"$1,180",,,"$1,040",,,,,
,,Johnson County,,,,"$150,920",,,$930,,,$820,,,,,
,,Kane County,,,,"$329,010",,,"$2,030",,,"$1,790",,,,,
,,Kankakee County,,,,"$221,380",,,"$1,370",,,"$1,150",,,,,
,,Kendall County,,,,"$333,180",,,"$2,060",,,"$1,810",,,,,
,,Knox County,,,,"$103,460",,,$640,,,$560,,,,,
,,Lake County,,,,"$350,620",,,"$2,160",,,"$1,900",,,,,
,,LaSalle County,,,,"$167,920",,,"$1,040",,,$910,,,,,
,,Lawrence County,,,,"$100,370",,,$620,,,$550,,,,,
,,Lee County,,,,"$157,230",,,$970,,,$850,,,,,
,,Livingston County,,,,"$136,920",,,$840,,,$740,,,,,
,,Logan County,,,,"$126,340",,,$780,,,$690,,,,,
,,McDonough County,,,,"$107,310",,,$660,,,$580,,,,,
,,McHenry County,,,,"$312,760",,,"$1,930",,,"$1,700",,,,,
,,McLean County,,,,"$202,680",,,"$1,250",,,"$1,110",,,,,
,,Macon County,,,,"$121,280",,,$750,,,$630,,,,,
,,Macoupin County,,,,"$130,510",,,$810,,,$700,,,,,
,,Madison County,,,,"$183,450",,,"$1,130",,,$990,,,,,
,,Marion County,,,,"$102,820",,,$630,,,$560,,,,,
,,Marshall County,,,,"$134,290",,,$830,,,$720,,,,,
,,Mason County,,,,"$103,680",,,$640,,,$560,,,,,
,,Massac County,,,,"$123,130",,,$760,,,$670,,,,,
,,Menard County,,,,"$187,900",,,"$1,160",,,"$1,030",,,,,
,,Mercer County,,,,"$140,340",,,$870,,,$760,,,,,
,,Monroe County,,,,"$273,400",,,"$1,690",,,"$1,480",,,,,
,,Montgomery County,,,,"$109,020",,,$670,,,$590,,,,,
,,Morgan County,,,,"$130,400",,,$800,,,$710,,,,,
,,Moultrie County,,,,"$124,410",,,$770,,,$680,,,,,
,,Ogle County,,,,"$184,800",,,"$1,140",,,"$1,000",,,,,
,,Peoria County,,,,"$167,920",,,"$1,040",,,$900,,,,,
,,Perry County,,,,"$109,020",,,$670,,,$590,,,,,
,,Piatt County,,,,"$179,530",,,"$1,110",,,$980,,,,,
,,Pike County,,,,"$103,680",,,$640,,,$560,,,,,
,,Pope County,,,,"$146,970",,,$910,,,$800,,,,,
,,Pulaski County,,,,"$87,220",,,$540,,,$470,,,,,
,,Putnam County,,,,"$172,620",,,"$1,070",,,$940,,,,,
,,Randolph County,,,,"$138,310",,,$850,,,$750,,,,,
,,Richland County,,,,"$113,730",,,$700,,,$620,,,,,
,,Rock Island County,,,,"$148,270",,,$910,,,$800,,,,,
,,St. Clair County,,,,"$183,020",,,"$1,130",,,$990,,,,,
,,Saline County,,,,"$93,950",,,$580,,,$510,,,,,
,,Sangamon County,,,,"$170,290",,,"$1,050",,,$930,,,,,
,,Schuyler County,,,,"$107,420",,,$660,,,$580,,,,,
,,Scott County,,,,"$101,540",,,$630,,,$550,,,,,
,,Shelby County,,,,"$133,820",,,$830,,,$730,,,,,
,,Stark County,,,,"$103,360",,,$640,,,$560,,,,,
,,Stephenson County,,,,"$130,400",,,$800,,,$710,,,,,
,,Tazewell County,,,,"$170,070",,,"$1,050",,,$920,,,,,
,,Union County,,,,"$138,200",,,$850,,,$750,,,,,
,,Vermilion County,,,,"$94,060",,,$580,,,$540,,,,,
,,Wabash County,,,,"$100,580",,,$620,,,$550,,,,,
,,Warren County,,,,"$104,960",,,$650,,,$570,,,,,
,,Washington County,,,,"$157,230",,,$970,,,$850,,,,,
,,Wayne County,,,,"$115,330",,,$710,,,$630,,,,,
,,White County,,,,"$107,950",,,$670,,,$590,,,,,
,,Whiteside County,,,,"$130,610",,,$810,,,$710,,,,,
,,Will County,,,,"$321,850",,,"$1,990",,,"$1,750",,,,,
,,Williamson County,,,,"$165,780",,,"$1,020",,,$900,,,,,
,,Winnebago County,,,,"$177,330",,,"$1,090",,,$940,,,,,
,,Woodford County,,,,"$200,570",,,"$1,240",,,"$1,080",,,,,
Indiana,,Adams County,,,,"$177,170",,,"$1,090",,,$960,,,,,
,,Allen County,,,,"$217,440",,,"$1,340",,,"$1,160",,,,,
,,Bartholomew County,,,,"$221,780",,,"$1,370",,,"$1,210",,,,,
,,Benton County,,,,"$133,950",,,$830,,,$710,,,,,
,,Blackford County,,,,"$97,150",,,$600,,,$520,,,,,
,,Boone County,,,,"$388,240",,,"$2,400",,,"$2,090",,,,,
,,Brown County,,,,"$246,070",,,"$1,520",,,"$1,320",,,,,
,,Carroll County,,,,"$167,060",,,"$1,030",,,$890,,,,,
,,Cass County,,,,"$119,120",,,$730,,,$640,,,,,
,,Clark County,,,,"$230,990",,,"$1,430",,,"$1,270",,,,,
,,Clay County,,,,"$141,140",,,$870,,,$750,,,,,
,,Clinton County,,,,"$150,890",,,$930,,,$810,,,,,
,,Crawford County,,,,"$113,630",,,$700,,,$610,,,,,
,,Daviess County,,,,"$187,400",,,"$1,160",,,"$1,010",,,,,
,,Dearborn County,,,,"$230,170",,,"$1,420",,,"$1,220",,,,,
,,Decatur County,,,,"$187,830",,,"$1,160",,,"$1,010",,,,,
,,DeKalb County,,,,"$169,850",,,"$1,050",,,$920,,,,,
,,Delaware County,,,,"$147,110",,,$910,,,$790,,,,,
,,Dubois County,,,,"$201,400",,,"$1,240",,,"$1,090",,,,,
,,Elkhart County,,,,"$207,650",,,"$1,280",,,"$1,160",,,,,
,,Fayette County,,,,"$106,730",,,$660,,,$580,,,,,
,,Floyd County,,,,"$260,200",,,"$1,610",,,"$1,430",,,,,
,,Fountain County,,,,"$132,910",,,$820,,,$720,,,,,
,,Franklin County,,,,"$219,140",,,"$1,350",,,"$1,170",,,,,
,,Fulton County,,,,"$154,450",,,$950,,,$830,,,,,
,,Gibson County,,,,"$169,700",,,"$1,050",,,$930,,,,,
,,Grant County,,,,"$124,290",,,$770,,,$670,,,,,
,,Greene County,,,,"$120,100",,,$740,,,$680,,,,,
,,Hamilton County,,,,"$419,590",,,"$2,590",,,"$2,250",,,,,
,,Hancock County,,,,"$296,130",,,"$1,830",,,"$1,590",,,,,
,,Harrison County,,,,"$214,000",,,"$1,320",,,"$1,180",,,,,
,,Hendricks County,,,,"$309,960",,,"$1,910",,,"$1,670",,,,,
,,Henry County,,,,"$134,520",,,$830,,,$730,,,,,
,,Howard County,,,,"$178,150",,,"$1,100",,,$920,,,,,
,,Huntington County,,,,"$144,320",,,$890,,,$780,,,,,
,,Jackson County,,,,"$173,720",,,"$1,070",,,$940,,,,,
,,Jasper County,,,,"$203,980",,,"$1,260",,,"$1,110",,,,,
,,Jay County,,,,"$109,320",,,$670,,,$590,,,,,
,,Jefferson County,,,,"$181,050",,,"$1,120",,,$980,,,,,
,,Jennings County,,,,"$143,460",,,$890,,,$770,,,,,
,,Johnson County,,,,"$305,210",,,"$1,880",,,"$1,640",,,,,
,,Knox County,,,,"$131,500",,,$810,,,$710,,,,,
,,Kosciusko County,,,,"$226,930",,,"$1,400",,,"$1,220",,,,,
,,LaGrange County,,,,"$248,040",,,"$1,530",,,"$1,340",,,,,
,,Lake County,,,,"$240,880",,,"$1,490",,,"$1,310",,,,,
,,LaPorte County,,,,"$199,190",,,"$1,230",,,"$1,050",,,,,
,,Lawrence County,,,,"$158,000",,,$970,,,$850,,,,,
,,Marion County,,,,"$234,390",,,"$1,450",,,"$1,260",,,,,
,,Marshall County,,,,"$183,960",,,"$1,140",,,$990,,,,,
,,Martin County,,,,"$153,370",,,$950,,,$830,,,,,
,,Miami County,,,,"$121,490",,,$750,,,$660,,,,,
,,Monroe County,,,,"$282,620",,,"$1,740",,,"$1,590",,,,,
,,Montgomery County,,,,"$168,450",,,"$1,040",,,$910,,,,,
,,Morgan County,,,,"$247,470",,,"$1,530",,,"$1,330",,,,,
,,Newton County,,,,"$158,200",,,$980,,,$860,,,,,
,,Noble County,,,,"$181,050",,,"$1,120",,,$980,,,,,
,,Ohio County,,,,"$207,020",,,"$1,280",,,"$1,100",,,,,
,,Orange County,,,,"$134,740",,,$830,,,$730,,,,,
,,Owen County,,,,"$156,220",,,$960,,,$880,,,,,
,,Parke County,,,,"$130,860",,,$810,,,$710,,,,,
,,Perry County,,,,"$147,230",,,$910,,,$790,,,,,
,,Pike County,,,,"$136,780",,,$840,,,$740,,,,,
,,Porter County,,,,"$285,480",,,"$1,760",,,"$1,550",,,,,
,,Posey County,,,,"$213,480",,,"$1,320",,,"$1,170",,,,,
,,Pulaski County,,,,"$141,630",,,$870,,,$760,,,,,
,,Putnam County,,,,"$189,850",,,"$1,170",,,"$1,020",,,,,
